Date,Stock,Reco,Price
2025-02-25,S P Apparels,EXIT,718.0
2025-02-25,Pidilite Inds.,Buy,2733.0
2025-02-25,Zydus Wellness,Buy,1620.0
2025-02-27,V-Guard Industri,EXIT,316.0
2025-02-27,Britannia Inds.,Buy,4811.0
2025-03-04,EID Parry,EXIT,655.0
2025-03-04,Kirl. Brothers,Buy,1531.0
2025-03-21,Britannia Inds.,EXIT,4850.0
2025-03-21,Zydus Wellness,EXIT,1670.0
2025-03-21,Narayana Hrudaya,Buy,1677.0
2025-03-21,Uno Minda,Buy,977.0
2025-03-24,TVS Motor Co.,EXIT,2417.0
2025-03-24,Gabriel India,EXIT,602.0
2025-03-24,Neuland Labs.,EXIT,12065.0
2025-03-24,Radico Khaitan,BUY,2318.0
2025-03-24,eClerx Services,BUY,2760.0
2025-03-24,Himadri Special,BUY,454.0
2025-04-09,Uno Minda,EXIT,816.0
2025-04-09,Thangamayil Jew.,BUY,1919.0
2025-04-21,eClerx Services,EXIT,2553.0
2025-04-21,Garware Tech.,BUY,887.0
2025-04-28,Time Technoplast,EXIT,354.0
2025-04-28,Dr Lal Pathlabs,BUY,2835.0
2025-05-06,Praj Industries,EXIT,467.0
2025-05-06,EID Parry,Buy,834.0
2025-05-16,Himadri Special,Exit,456.0
2025-05-16,TVS Motor Co.,Buy,2814.0
2025-05-21,CEAT,Buy,3962.0
2025-05-21,Blue Star,Exit,1597.0
2025-05-30,Lumax Auto Tech.,Buy,796.0
2025-05-30,Kirl. Brothers,Exit,1777.0
2025-06-04,Narayana Hrudaya,Exit,1759.0
2025-06-04,Aditya Vision,Buy,405.0
2025-06-18,Time Technoplast,BUY,445.0
2025-06-18,Aditya Vision,EXIT,351.0
